央视频道,#genre#
CCTV1,https://cqcb.iptv.darwinchow.com/cctv1hd
CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV2,https://cqcb.iptv.darwinchow.com/cctv2hd
CCTV2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV3,https://cqcb.iptv.darwinchow.com/cctv3hd
CCTV3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV4,https://cqcb.iptv.darwinchow.com/cctv4hd
CCTV4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV5,https://cqcb.iptv.darwinchow.com/cctv5hd
CCTV5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV5+,http://iptv.huuc.edu.cn/hls/cctv5phd.m3u8
CCTV6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV7,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
CCTV8,https://cqcb.iptv.darwinchow.com/cctv8hd
CCTV8,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV9,https://cqcb.iptv.darwinchow.com/cctv9hd
CCTV9,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8
CCTV10,https://cqcb.iptv.darwinchow.com/cctv10hd
CCTV10,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
CCTV11,https://cqcb.iptv.darwinchow.com/cctv11hd
CCTV11,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8
CCTV12,https://cqcb.iptv.darwinchow.com/cctv12hd
CCTV12,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8
CCTV13,http://tencentplaygsm.gztv.com/live/jingsai.m3u8
CCTV13,http://8.138.7.223/tv/gzjs.m3u8
CCTV13,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
CCTV14,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8
CCTV15,https://cqcb.iptv.darwinchow.com/cctv15hd
CCTV15,http://iptv.huuc.edu.cn/hls/cctv15hd.m3u8
CCTV16,https://cqcb.iptv.darwinchow.com/cctv16hd
CCTV16,http://iptv.huuc.edu.cn/hls/cctv16hd.m3u8
CCTV17,https://cqcb.iptv.darwinchow.com/cctv17hd
CCTV17,http://iptv.huuc.edu.cn/hls/cctv17hd.m3u8
CGTN,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN俄语,http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8
CGTN法语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN纪录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN西语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8

数字频道,#genre#
金鹰卡通,http://iptv.huuc.edu.cn/hls/jykttv.m3u8
山东教育卫视,http://iptv.huuc.edu.cn/hls/sdetv.m3u8

上星频道,#genre#
凤凰中文,http://iptv.huuc.edu.cn/hls/fhzw.m3u8
凤凰资讯,http://iptv.huuc.edu.cn/hls/fhzx.m3u8
凤凰电影,http://iptv.huuc.edu.cn/hls/fhdy.m3u8
探索频道,http://iptv.huuc.edu.cn/hls/discovery.m3u8
国家地理频道,http://iptv.huuc.edu.cn/hls/natlgeo.m3u8
星空卫视,http://iptv.huuc.edu.cn/hls/startv.m3u8
Channel[V],http://iptv.huuc.edu.cn/hls/channelv.m3u8
卫视体育台,http://iptv.huuc.edu.cn/hls/starsports.m3u8

卫视频道,#genre#
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3
广州法治,http://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=3e84cd8eba844b5dc2150612295c7a52&txTime=18d578f4493
广州竞赛,https://tencentplay.gztv.com/live/jingsai.m3u8?txSecret=a4d04c27d0d1d8b7efef2ed7ff1c3eae&txTime=191b60cc9ca
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8
厦门卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.2.11:8060
北京卫视,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225826/index.m3u8
北京卫视,https://iptv.huuc.edu.cn/hls/btv1hd.m3u8
东方卫视,http://iptv.huuc.edu.cn/hls/dfhd.m3u8
东南卫视,http://iptv.huuc.edu.cn/hls/dnhd.m3u8
